Reference_Backbone,Query_Backbone,Final_Name
FJComp-AF-A,FJComp-AF-A,AF
FJComp-BV650-A,FJComp-BV650-A,CD90
FJComp-BV711-A,FJComp-BV711-A,CD271
FJComp-BV786-A,FJComp-BV786-A,CD34
FJComp-BYG610-A,FJComp-BYG610-A,CD33
FJComp-BYG750-A,FJComp-BYG750-A,CD56
FJComp-V505-A,FJComp-V505-A,HLA-DR
FJComp-cFluorB515-A,FJComp-cFluorB515-A,CD7
FJComp-cFluorB548-A,FJComp-cFluorB548-A,CD15
FJComp-cFluorB690-A,FJComp-cFluorB690-A,CD38
FJComp-cFluorBYG667-A,FJComp-cFluorBYG667-A,CD71
FJComp-cFluorBYG710-A,FJComp-cFluorBYG710-A,CD117
FJComp-cFluorBYG781-A,FJComp-cFluorBYG781-A,CD10
FJComp-cFluorR659-A,FJComp-cFluorR659-A,CD13
FJComp-cFluorR668-A,FJComp-cFluorR668-A,CD19
FJComp-cFluorR685-A,FJComp-cFluorR685-A,CD5
FJComp-cFluorR720-A,FJComp-cFluorR720-A,CD123
FJComp-cFluorR780-A,FJComp-cFluorR780-A,CD64
FJComp-cFluorR840-A,FJComp-cFluorR840-A,CD45
FJComp-cFluorV420-A,FJComp-cFluorV420-A,CD16
FJComp-cFluorV450-A,FJComp-cFluorV450-A,CD14
FJComp-cFluorV547-A,FJComp-cFluorV547-A,CD4
FJComp-cFluorV610-A,FJComp-cFluorV610-A,CD11b